emp_no,first_name,last_name,to_date,hire_date,from_date,title,present_date,days_of_service
104879,TRUE,Tzvieli,9999-01-01,1997-09-27,1998-08-29,Engineer,2021-06-09,8656
104908,Qingxiang,Baja,9999-01-01,1997-06-26,1999-02-03,Senior Staff,2021-06-09,8749
104914,Arumugam,Baaz,9999-01-01,1997-03-30,2001-07-17,Staff,2021-06-09,8837
104925,Radoslaw,Shackell,9999-01-01,1996-07-29,1996-07-29,Staff,2021-06-09,9081
104935,Basil,Lukaszewicz,9999-01-01,1996-04-13,1996-11-03,Senior Engineer,2021-06-09,9188
104948,Yongmao,Showalter,9999-01-01,1997-08-23,1999-08-28,Staff,2021-06-09,8691
104953,Prodip,Chachaty,9999-01-01,1996-03-19,1999-06-23,Staff,2021-06-09,9213
104954,Torsten,Veccia,9999-01-01,1999-07-27,1999-07-27,Assistant Engineer,2021-06-09,7988
105004,Hiroyasu,Schoegge,9999-01-01,1997-02-01,1998-07-06,Staff,2021-06-09,8894
105008,Bangqing,Yemenis,9999-01-01,1996-03-29,1999-02-12,Engineer,2021-06-09,9203
105048,Frederique,Veccia,9999-01-01,1998-04-20,1999-07-08,Engineer,2021-06-09,8451
105059,Diederik,Underwood,9999-01-01,1996-01-13,1998-09-21,Staff,2021-06-09,9279
105066,Sashi,Staelin,9999-01-01,1999-01-20,1999-10-20,Staff,2021-06-09,8176
105098,Gio,Spieker,9999-01-01,1996-03-12,1998-07-05,Staff,2021-06-09,9220
105102,Mihalis,Egerstedt,9999-01-01,1996-07-02,1996-07-02,Senior Engineer,2021-06-09,9108
105129,Ferdinand,Segond,9999-01-01,1997-02-09,1997-02-09,Senior Engineer,2021-06-09,8886
105135,Mircea,Haraldson,9999-01-01,1996-01-01,1996-01-05,Technique Leader,2021-06-09,9291
105200,Mrinalini,Mahnke,9999-01-01,1999-10-06,1999-12-03,Technique Leader,2021-06-09,7917
105218,Charmane,Staudhammer,9999-01-01,1997-11-11,1999-05-29,Staff,2021-06-09,8611
105260,Bernt,Ratnaker,9999-01-01,1998-08-19,1998-08-19,Engineer,2021-06-09,8330
105317,Erez,Brandsma,9999-01-01,1997-06-10,1997-06-10,Engineer,2021-06-09,8765
105339,Hiroyasu,Brookman,9999-01-01,1996-03-15,1996-08-27,Staff,2021-06-09,9217
105342,Kwun,Reeker,9999-01-01,1997-01-20,1999-07-29,Technique Leader,2021-06-09,8906
105345,Yucai,Schauser,9999-01-01,1998-04-25,1998-10-01,Staff,2021-06-09,8446
105369,Augustine,Cooke,9999-01-01,1996-11-24,1996-11-24,Staff,2021-06-09,8963
105403,Youjian,Seiwald,9999-01-01,1998-09-14,1999-02-19,Senior Engineer,2021-06-09,8304
105414,Ulf,Muhling,9999-01-01,1997-02-04,1997-02-04,Senior Engineer,2021-06-09,8891
105428,Srinidhi,Salvesen,9999-01-01,1997-03-17,1997-03-17,Staff,2021-06-09,8850
105435,Spyrose,Coney,9999-01-01,1999-06-30,1999-06-30,Engineer,2021-06-09,8015
105436,Kwun,Esposito,9999-01-01,1997-05-02,1997-05-02,Senior Engineer,2021-06-09,8804
105452,Juyoung,Welham,9999-01-01,1998-09-13,1999-06-19,Staff,2021-06-09,8305
105474,Zito,Fairtlough,9999-01-01,1996-02-18,1996-08-18,Engineer,2021-06-09,9243
105483,Rosita,Uhrig,9999-01-01,1997-08-28,2000-01-02,Staff,2021-06-09,8686
105516,Eishiro,Hebert,9999-01-01,1998-06-05,1998-09-15,Engineer,2021-06-09,8405
105542,Marko,Zhiwei,9999-01-01,1996-11-04,1996-11-04,Senior Engineer,2021-06-09,8983
105548,Bluma,Rehfuss,9999-01-01,1996-08-17,1996-08-17,Engineer,2021-06-09,9062
105552,Kellie,Ananiadou,9999-01-01,1997-06-03,1997-07-05,Staff,2021-06-09,8772
105568,Kwangjo,Penttonen,9999-01-01,1997-10-28,1999-12-15,Staff,2021-06-09,8625
105591,Diederik,Isaak,9999-01-01,1996-05-12,1996-11-26,Senior Engineer,2021-06-09,9159
105614,Avishai,Skogmar,9999-01-01,1996-02-14,1996-02-14,Engineer,2021-06-09,9247
105652,Arlette,Comyn,9999-01-01,1998-09-01,1999-05-25,Senior Engineer,2021-06-09,8317
105657,Xiaoqiang,Cappelletti,9999-01-01,1997-03-08,2002-06-23,Senior Engineer,2021-06-09,8859
105669,Basem,Michaels,9999-01-01,1998-08-24,1998-08-24,Staff,2021-06-09,8325
105671,Shigeu,Showalter,9999-01-01,1997-10-04,1999-05-01,Engineer,2021-06-09,8649
105691,Younwoo,Rullman,9999-01-01,1996-10-24,1999-08-04,Senior Staff,2021-06-09,8994
105706,Adhemar,Grandbois,9999-01-01,1996-06-27,1996-06-27,Staff,2021-06-09,9113
105707,Jagoda,Tokunaga,9999-01-01,1996-12-21,1999-10-19,Technique Leader,2021-06-09,8936
105764,Kwangho,Schach,9999-01-01,1996-08-02,1996-08-02,Staff,2021-06-09,9077
105807,Rosalyn,Perri,9999-01-01,1996-06-15,1996-06-15,Senior Engineer,2021-06-09,9125
105814,Heejo,Terkki,9999-01-01,1997-08-10,1997-08-10,Engineer,2021-06-09,8704
105856,Yuqun,Gubsky,9999-01-01,1998-02-13,1998-11-18,Staff,2021-06-09,8517
105869,Berhard,Foote,9999-01-01,1997-03-28,1999-12-12,Engineer,2021-06-09,8839
105885,Stamatina,Basawa,9999-01-01,1999-10-04,1999-10-04,Engineer,2021-06-09,7919
105887,Kristine,Peha,9999-01-01,1997-03-05,1999-10-26,Senior Staff,2021-06-09,8862
105905,Toong,Zambonelli,9999-01-01,1997-03-04,1999-08-12,Engineer,2021-06-09,8863
105908,Kshitij,Perna,9999-01-01,1997-03-09,1998-07-09,Staff,2021-06-09,8858
105920,Nectarios,Gyorkos,9999-01-01,1996-09-04,1998-06-19,Senior Staff,2021-06-09,9044
105941,Xinyu,Conde,9999-01-01,1998-08-28,1998-08-28,Staff,2021-06-09,8321
105943,Rildo,Brodal,9999-01-01,1996-03-15,1999-08-04,Engineer,2021-06-09,9217
105951,Shridhar,Nittel,9999-01-01,1996-10-13,1996-10-13,Engineer,2021-06-09,9005
105953,Mahendra,Shobatake,9999-01-01,1998-07-08,1999-06-19,Staff,2021-06-09,8372
105956,Sudharsan,Rodier,9999-01-01,1996-10-14,1999-05-05,Staff,2021-06-09,9004
105960,Shaowei,Zykh,9999-01-01,1997-12-09,1999-10-05,Staff,2021-06-09,8583
105961,Aamer,Lambe,9999-01-01,1996-11-12,1996-11-12,Engineer,2021-06-09,8975
105971,Shushma,Tischendorf,9999-01-01,1996-05-28,1996-05-28,Staff,2021-06-09,9143
105982,Jeong,Percebois,9999-01-01,1999-03-07,1999-03-07,Engineer,2021-06-09,8130
106002,Khoa,Melichar,9999-01-01,1997-06-12,1997-11-19,Staff,2021-06-09,8763
106047,Gennady,Harnett,9999-01-01,1996-09-21,1997-04-29,Senior Staff,2021-06-09,9027
106057,Monique,Zyda,9999-01-01,1996-04-22,1999-10-13,Engineer,2021-06-09,9179
106066,Giap,Daescu,9999-01-01,1996-12-05,1996-12-05,Senior Staff,2021-06-09,8952
106071,Leen,Hiraishi,9999-01-01,1997-11-18,2001-08-20,Engineer,2021-06-09,8604
106075,Zhonghui,Greenaway,9999-01-01,1997-11-14,1997-11-14,Technique Leader,2021-06-09,8608
106092,Dmitri,Parhami,9999-01-01,1997-05-18,1998-01-23,Engineer,2021-06-09,8788
106129,Shuji,Kakkad,9999-01-01,1996-08-23,1996-08-23,Senior Engineer,2021-06-09,9056
106142,Ugo,Varker,9999-01-01,1996-01-28,1998-03-04,Senior Staff,2021-06-09,9264
106144,Roded,Stifter,9999-01-01,1996-02-24,1996-02-24,Staff,2021-06-09,9237
106153,Arfst,Gluchowski,9999-01-01,1996-10-06,2000-04-16,Staff,2021-06-09,9012
106182,Hideyuki,Gire,9999-01-01,1997-09-06,1997-09-06,Engineer,2021-06-09,8677
106215,Raimond,Lyonns,9999-01-01,1997-05-08,1997-10-29,Engineer,2021-06-09,8798
106244,Xiaoshan,Joslin,9999-01-01,1997-11-19,1997-11-19,Assistant Engineer,2021-06-09,8603
106245,Chikara,Walstra,9999-01-01,1997-10-26,1997-10-26,Assistant Engineer,2021-06-09,8627
106257,Val,Assaf,9999-01-01,1997-08-31,1998-05-12,Senior Engineer,2021-06-09,8683
106261,Zhonghua,Khalil,9999-01-01,1996-02-03,1996-02-03,Senior Staff,2021-06-09,9258
106272,Khalil,Nitsche,9999-01-01,1997-09-09,1997-09-09,Engineer,2021-06-09,8674
106274,Sahrah,Wiegley,9999-01-01,1996-04-01,1996-04-01,Staff,2021-06-09,9200
106283,Yongmao,Matzen,9999-01-01,1996-07-09,1997-10-16,Staff,2021-06-09,9101
106291,Garnik,Lambe,9999-01-01,1996-09-30,1997-12-30,Technique Leader,2021-06-09,9018
106310,Rance,Bultermann,9999-01-01,1997-04-25,1997-04-25,Staff,2021-06-09,8811
106366,Matk,Thiria,9999-01-01,1999-03-26,1999-06-28,Senior Engineer,2021-06-09,8111
106372,Aimee,Merks,9999-01-01,1996-04-29,1996-04-29,Staff,2021-06-09,9172
106379,Jordanka,Cappelletti,9999-01-01,1998-10-05,1999-06-25,Senior Engineer,2021-06-09,8283
106388,Nikolaos,Emiris,9999-01-01,1998-04-22,1998-04-22,Staff,2021-06-09,8449
106464,Heejo,Vakili,9999-01-01,1996-03-25,1997-01-07,Senior Staff,2021-06-09,9207
106484,Yuriy,Hiroyama,9999-01-01,1996-05-05,1996-05-05,Senior Staff,2021-06-09,9166
106506,Kristine,Maraist,9999-01-01,1996-07-15,1997-05-09,Engineer,2021-06-09,9095
106507,Saeed,Vendrig,9999-01-01,1999-03-30,1999-03-30,Staff,2021-06-09,8107
106535,Chenyi,Tsunoo,9999-01-01,1996-09-17,1996-09-17,Senior Engineer,2021-06-09,9031
106565,Chikara,Munawer,9999-01-01,1996-06-14,1996-08-06,Engineer,2021-06-09,9126
106580,Lene,Birta,9999-01-01,1999-06-18,1999-06-18,Staff,2021-06-09,8027
106593,Jaana,Bail,9999-01-01,1996-12-30,1996-12-30,Senior Engineer,2021-06-09,8927
106596,Noritoshi,Zizka,9999-01-01,1996-08-10,1999-11-25,Staff,2021-06-09,9069
106600,Foong,Boguraev,9999-01-01,1997-07-15,1997-07-15,Senior Engineer,2021-06-09,8730
106614,Shuky,Suppi,9999-01-01,1997-07-28,1998-07-25,Engineer,2021-06-09,8717
106625,Giap,Huhdanpaa,9999-01-01,1996-08-12,1998-05-21,Engineer,2021-06-09,9067
106627,Dietrich,Boudaillier,9999-01-01,1997-11-01,1999-03-31,Staff,2021-06-09,8621
106631,Phuoc,Raoux,9999-01-01,1998-02-01,1999-07-01,Engineer,2021-06-09,8529
106652,Willard,Harllee,9999-01-01,1997-01-04,1997-01-04,Senior Staff,2021-06-09,8922
106657,Goa,Mandell,9999-01-01,1996-03-04,1996-03-04,Senior Staff,2021-06-09,9228
106658,Kamakshi,Socorro,9999-01-01,1997-01-04,1999-01-27,Staff,2021-06-09,8922
106688,Rafols,Jeansoulin,9999-01-01,1998-11-18,1998-11-18,Staff,2021-06-09,8239
106698,Xiaoqiang,Haddadi,9999-01-01,1998-03-23,1998-09-13,Technique Leader,2021-06-09,8479
106763,Nechama,Lung,9999-01-01,1997-06-19,1997-06-19,Engineer,2021-06-09,8756
106767,Khatoun,Peroz,9999-01-01,1996-06-16,1999-05-21,Senior Staff,2021-06-09,9124
106774,Kwangsub,Erez,9999-01-01,1996-08-13,1996-08-13,Engineer,2021-06-09,9066
106802,Baruch,Parhami,9999-01-01,1997-08-15,1998-10-17,Senior Staff,2021-06-09,8699
106821,Munehiko,Kuhnemann,9999-01-01,1997-06-29,1997-06-29,Senior Engineer,2021-06-09,8746
106859,Abdelkader,Shihab,9999-01-01,1997-11-11,1998-10-07,Engineer,2021-06-09,8611
106886,Bader,Guardalben,9999-01-01,1996-04-09,1999-02-21,Engineer,2021-06-09,9192
106905,Felicidad,Fiebach,9999-01-01,1997-07-29,1997-07-29,Staff,2021-06-09,8716
106916,Selwyn,Murillo,9999-01-01,1997-07-12,1997-07-12,Senior Engineer,2021-06-09,8733
106919,Mitsuyuki,Siepmann,9999-01-01,1997-05-27,1999-11-02,Senior Engineer,2021-06-09,8779
106921,Jaber,Schlumberger,9999-01-01,1998-10-30,1998-10-30,Technique Leader,2021-06-09,8258
106927,Tayeb,Lindenbaum,9999-01-01,1997-08-24,2001-04-19,Senior Engineer,2021-06-09,8690
106944,Sergi,Wixon,9999-01-01,1998-09-10,1999-08-15,Assistant Engineer,2021-06-09,8308
106947,Mohua,Serra,9999-01-01,1998-09-18,2001-07-26,Engineer,2021-06-09,8300
106963,Mariangiola,Spell,9999-01-01,1997-06-19,1997-06-19,Staff,2021-06-09,8756
106967,Malu,Pargas,9999-01-01,1996-09-01,1999-10-08,Senior Engineer,2021-06-09,9047
106971,Sanjai,Marchesini,9999-01-01,1997-11-27,1997-11-27,Senior Staff,2021-06-09,8595
106993,Sasan,Koyama,9999-01-01,1997-09-21,1998-05-28,Staff,2021-06-09,8662
106999,Marit,Hambrick,9999-01-01,1996-05-03,1996-05-03,Staff,2021-06-09,9168
107004,Yuriy,Peac,9999-01-01,1998-02-17,2000-06-02,Engineer,2021-06-09,8513
107010,Uinam,Roccetti,9999-01-01,1996-09-01,1997-09-13,Senior Engineer,2021-06-09,9047
107022,Pranay,Basagni,9999-01-01,1998-12-27,2001-01-14,Engineer,2021-06-09,8200
107028,Gro,Rande,9999-01-01,1998-12-03,1999-06-19,Staff,2021-06-09,8224
107029,Karoline,Capobianchi,9999-01-01,1996-07-03,1996-07-03,Engineer,2021-06-09,9107
107038,Saeko,Remmers,9999-01-01,1996-09-04,1998-02-26,Technique Leader,2021-06-09,9044
107046,Evgueni,DeMori,9999-01-01,1996-12-07,1997-09-25,Staff,2021-06-09,8950
107056,Xumin,Pesch,9999-01-01,1998-12-19,1998-12-19,Staff,2021-06-09,8208
107130,Nechama,Anandan,9999-01-01,1996-04-14,1996-04-14,Staff,2021-06-09,9187
107168,Wojceich,Kolinko,9999-01-01,1996-02-24,2001-02-10,Senior Engineer,2021-06-09,9237
107174,Adib,Perez,9999-01-01,1998-08-18,1998-08-18,Senior Engineer,2021-06-09,8331
107178,Martins,Linnainmaa,9999-01-01,1999-04-21,1999-09-14,Senior Engineer,2021-06-09,8085
107190,Panayotis,Sethi,9999-01-01,1996-11-30,1999-08-13,Engineer,2021-06-09,8957
107192,Nishit,Chleq,9999-01-01,1996-07-18,1996-07-18,Assistant Engineer,2021-06-09,9092
107196,Toney,Improta,9999-01-01,1998-02-03,1998-02-03,Technique Leader,2021-06-09,8527
107220,Vishu,Vieth,9999-01-01,1998-06-09,1998-06-09,Staff,2021-06-09,8401
107222,Shaz,Pramanik,9999-01-01,1998-02-24,1998-05-20,Engineer,2021-06-09,8506
107227,Supot,Birge,9999-01-01,1996-04-01,1996-09-21,Engineer,2021-06-09,9200
107236,Fen,Colorni,9999-01-01,1997-02-28,1999-10-28,Engineer,2021-06-09,8867
107259,Gilbert,Hagimont,9999-01-01,1999-09-20,1999-09-20,Engineer,2021-06-09,7933
107271,Jagoda,Bennet,9999-01-01,1996-02-22,1998-11-19,Engineer,2021-06-09,9239
107302,Zhensheng,Grandbois,9999-01-01,1996-07-10,1997-02-20,Engineer,2021-06-09,9100
107315,Jessie,Dengi,9999-01-01,1997-10-20,1997-10-20,Staff,2021-06-09,8633
107327,Jahangir,Jeansoulin,9999-01-01,1996-11-04,1998-08-14,Staff,2021-06-09,8983
107334,Rafail,Peak,9999-01-01,1996-05-04,1997-05-01,Senior Staff,2021-06-09,9167
107355,Divier,Aingworth,9999-01-01,1996-09-11,1996-09-11,Staff,2021-06-09,9037
107369,Maik,Navazio,9999-01-01,1996-06-17,2000-11-20,Senior Engineer,2021-06-09,9123
107379,Wonhee,Jakobus,9999-01-01,1997-07-21,1998-01-15,Engineer,2021-06-09,8724
107397,Ramya,Krider,9999-01-01,1997-06-29,1998-09-03,Staff,2021-06-09,8746
107415,Miomir,Bernardinello,9999-01-01,1997-02-13,1998-11-14,Staff,2021-06-09,8882
107426,Tesuro,Streit,9999-01-01,1996-01-15,1998-09-28,Engineer,2021-06-09,9277
107443,Yahiko,Yurov,9999-01-01,1996-08-18,1996-08-18,Staff,2021-06-09,9061
107495,Jaber,Buchter,9999-01-01,1996-11-25,1999-01-18,Staff,2021-06-09,8962
107499,Shahab,Figueira,9999-01-01,1997-08-28,1997-08-28,Engineer,2021-06-09,8686
107533,Dipayan,Siepmann,9999-01-01,1997-11-05,1997-11-05,Staff,2021-06-09,8617
107567,Miquel,Rodham,9999-01-01,1997-03-12,1998-05-21,Engineer,2021-06-09,8855
107586,Kshitij,Levergood,9999-01-01,1996-06-06,1997-11-26,Staff,2021-06-09,9134
107594,Badri,Roisin,9999-01-01,1996-11-20,1998-06-04,Staff,2021-06-09,8967
107600,Itzchak,Lorho,9999-01-01,1997-09-07,1997-09-07,Engineer,2021-06-09,8676
107622,Tsutomu,Lanteri,9999-01-01,1996-07-10,1997-10-07,Senior Engineer,2021-06-09,9100
107648,Radhia,Wixon,9999-01-01,1996-03-11,1996-04-10,Technique Leader,2021-06-09,9221
107665,Alenka,Mayerwieser,9999-01-01,1997-04-14,1997-04-14,Engineer,2021-06-09,8822
107685,Fan,Oskamp,9999-01-01,1997-07-16,1999-05-26,Engineer,2021-06-09,8729
107689,Shaowen,Krybus,9999-01-01,1996-06-05,1996-06-05,Staff,2021-06-09,9135
107696,Dulce,Berendt,9999-01-01,1996-04-14,1996-04-14,Staff,2021-06-09,9187
107711,Theirry,Frezza,9999-01-01,1996-09-06,1996-09-06,Technique Leader,2021-06-09,9042
107729,Persi,Perna,9999-01-01,1998-08-28,1998-11-09,Senior Staff,2021-06-09,8321
107796,Lihong,Ossenbruggen,9999-01-01,1996-09-22,1997-08-20,Engineer,2021-06-09,9026
107814,Shuji,Botman,9999-01-01,1997-04-21,1998-09-30,Senior Staff,2021-06-09,8815
107817,Marsha,Velasco,9999-01-01,1999-09-22,1999-09-22,Staff,2021-06-09,7931
107836,Sibyl,Gyimothy,9999-01-01,1998-10-23,1998-10-23,Engineer,2021-06-09,8265
107844,Leah,Norsworthy,9999-01-01,1997-04-27,1998-08-12,Staff,2021-06-09,8809
107903,Ortrud,Merey,9999-01-01,1998-05-19,1998-05-19,Senior Engineer,2021-06-09,8422
107914,Shih,Pietrzykowski,9999-01-01,1996-02-27,1996-02-27,Engineer,2021-06-09,9234
107915,Shigeichiro,Tsukune,9999-01-01,1997-01-20,2001-08-26,Engineer,2021-06-09,8906
107925,Vivian,Brender,9999-01-01,1996-12-21,1996-12-21,Engineer,2021-06-09,8936
107931,Xuejia,Shinomoto,9999-01-01,1997-04-09,1999-12-04,Senior Staff,2021-06-09,8827
107943,Koldo,Plesums,9999-01-01,1996-10-25,1996-10-25,Senior Engineer,2021-06-09,8993
107965,Zeydy,Merel,9999-01-01,1996-06-13,1996-06-13,Senior Engineer,2021-06-09,9127
107994,Khoa,Spataro,9999-01-01,1997-12-13,1999-01-25,Senior Staff,2021-06-09,8579
108012,Sajjad,Mahmud,9999-01-01,1998-07-28,1999-03-16,Assistant Engineer,2021-06-09,8352
108038,Bluma,Dulay,9999-01-01,1997-12-04,1997-12-04,Engineer,2021-06-09,8588
108045,Ranga,Sinicrope,9999-01-01,1998-03-06,1998-03-06,Staff,2021-06-09,8496
108062,Mingsen,Kakkad,9999-01-01,1997-06-24,1997-06-24,Staff,2021-06-09,8751
108123,Leen,Pietracaprina,9999-01-01,1997-10-22,2000-01-16,Engineer,2021-06-09,8631
108157,Wayne,Belinskaya,9999-01-01,1996-04-04,1996-04-04,Technique Leader,2021-06-09,9197
108161,Moie,Butterworth,9999-01-01,1997-06-26,1997-06-26,Staff,2021-06-09,8749
108171,Parke,Slaats,9999-01-01,1997-09-13,1997-09-13,Engineer,2021-06-09,8670
108187,Martina,Hennings,9999-01-01,1998-12-15,1998-12-17,Engineer,2021-06-09,8212
108201,Mariangiola,Boreale,9999-01-01,2000-01-01,2000-01-01,Senior Engineer,2021-06-09,7830
108204,Ibibia,Penz,9999-01-01,1998-06-07,1998-06-07,Engineer,2021-06-09,8403
108240,Masaki,Perl,9999-01-01,1997-03-29,1999-06-18,Engineer,2021-06-09,8838
108247,Kazuhira,Lukaszewicz,9999-01-01,1996-09-28,1998-07-20,Engineer,2021-06-09,9020
108255,Navid,Stifter,9999-01-01,1996-05-07,1996-05-07,Staff,2021-06-09,9164
108273,Takahito,Niizuma,9999-01-01,1996-08-19,1996-08-19,Staff,2021-06-09,9060
108287,Christoper,Ginneken,9999-01-01,1997-01-22,1997-01-22,Senior Staff,2021-06-09,8904
108288,Make,Spelt,9999-01-01,1997-02-23,1997-02-23,Engineer,2021-06-09,8872
108294,Mizuhito,Beilner,9999-01-01,1996-01-31,1996-01-31,Senior Engineer,2021-06-09,9261
108295,Menkae,Farrar,9999-01-01,1996-02-06,1996-02-06,Staff,2021-06-09,9255
108317,Garnet,Rajcani,9999-01-01,1997-01-07,1999-09-24,Engineer,2021-06-09,8919
108319,Jouko,Back,9999-01-01,1997-04-14,1998-06-08,Engineer,2021-06-09,8822
108349,Aloys,Birta,9999-01-01,1996-05-27,1996-05-27,Engineer,2021-06-09,9144
108352,Hitofumi,Seiwald,9999-01-01,1997-02-01,1997-08-03,Engineer,2021-06-09,8894
108388,Adil,Felder,9999-01-01,1998-07-30,1999-12-08,Technique Leader,2021-06-09,8350
108405,Sadegh,Hanratty,9999-01-01,1996-02-11,1996-02-11,Senior Staff,2021-06-09,9250
108443,Lenore,Polajnar,9999-01-01,1999-07-25,1999-09-11,Staff,2021-06-09,7990
108460,Roded,Peroz,9999-01-01,1997-07-08,1997-07-08,Staff,2021-06-09,8737
108478,Abdelghani,Munos,9999-01-01,1996-03-15,1996-03-15,Engineer,2021-06-09,9217
108497,Djelloul,Hanratty,9999-01-01,1996-07-11,1996-07-11,Senior Engineer,2021-06-09,9099
108510,Ingemar,Unni,9999-01-01,1998-01-02,1999-08-27,Senior Staff,2021-06-09,8559
108569,Vidar,Siochi,9999-01-01,1997-01-04,1999-07-28,Staff,2021-06-09,8922
108577,Utpal,Sherertz,9999-01-01,1998-05-11,1999-01-27,Assistant Engineer,2021-06-09,8430
108585,Badri,Vasanthakumar,9999-01-01,1997-06-26,1997-06-26,Engineer,2021-06-09,8749
108611,Goh,Dymetman,9999-01-01,1999-03-28,1999-03-28,Senior Engineer,2021-06-09,8109
108618,Nathan,Birnbaum,9999-01-01,1998-10-29,1999-01-29,Senior Engineer,2021-06-09,8259
108645,Chuanyi,Whittlesey,9999-01-01,1998-06-25,1999-06-11,Engineer,2021-06-09,8385
108665,Heeju,Parascandalo,9999-01-01,1999-06-08,1999-07-24,Technique Leader,2021-06-09,8037
108666,Gino,Spinelli,9999-01-01,1998-06-24,1998-09-01,Staff,2021-06-09,8386
108689,Honglan,Menhardt,9999-01-01,1996-07-25,1996-07-25,Senior Engineer,2021-06-09,9085
108692,Danco,Maquelin,9999-01-01,1996-02-19,1999-03-10,Engineer,2021-06-09,9242
108697,Quingbo,Kambil,9999-01-01,1999-10-30,1999-10-30,Technique Leader,2021-06-09,7893
108732,JoAnna,Koyama,9999-01-01,1996-12-18,1997-08-27,Staff,2021-06-09,8939
108769,Brewster,Ozeki,9999-01-01,1997-12-21,2000-08-14,Engineer,2021-06-09,8571
108796,Jolita,Zongker,9999-01-01,1997-04-08,1997-04-08,Staff,2021-06-09,8828
108799,Saeed,Angiulli,9999-01-01,1997-10-27,1997-10-27,Assistant Engineer,2021-06-09,8626
108821,Nishit,Majewski,9999-01-01,1997-12-21,1998-06-23,Staff,2021-06-09,8571
108869,Jinxi,Vasanthakumar,9999-01-01,1996-01-15,1997-09-15,Staff,2021-06-09,9277
108883,Subhada,Ossenbruggen,9999-01-01,1997-05-16,1997-05-16,Engineer,2021-06-09,8790
108895,Basim,Collavizza,9999-01-01,1998-11-12,1999-12-04,Staff,2021-06-09,8245
108902,Yakkov,Stamatiou,9999-01-01,1996-03-10,1998-07-29,Senior Staff,2021-06-09,9222
108908,Flemming,Bondorf,9999-01-01,1996-10-08,1997-12-09,Staff,2021-06-09,9010
108910,Christoper,Cairo,9999-01-01,1997-04-24,1997-04-24,Staff,2021-06-09,8812
108918,Leandro,Gniady,9999-01-01,1996-07-12,1999-06-19,Senior Staff,2021-06-09,9098
108925,Yonghoan,Serre,9999-01-01,1996-12-10,1996-12-10,Staff,2021-06-09,8947
108934,Alassane,Stemann,9999-01-01,1998-11-14,2000-01-01,Engineer,2021-06-09,8243
108936,Tooru,Sundgren,9999-01-01,1996-09-23,2000-07-28,Technique Leader,2021-06-09,9025
108941,Jinpo,Schwartzburd,9999-01-01,1996-06-30,1998-08-14,Technique Leader,2021-06-09,9110
108950,Xiaoshan,Mateescu,9999-01-01,1996-07-16,1996-07-16,Senior Engineer,2021-06-09,9094
108959,Huan,Zumaque,9999-01-01,1997-02-01,1999-05-26,Staff,2021-06-09,8894
108961,Jianhua,Piveteau,9999-01-01,1999-01-02,1999-01-02,Staff,2021-06-09,8194
108968,Boaz,Kruskal,9999-01-01,1997-01-19,1997-01-19,Engineer,2021-06-09,8907
108986,Utpal,Zhiwei,9999-01-01,1996-05-29,1996-05-29,Staff,2021-06-09,9142
109003,Bouchung,Heinisuo,9999-01-01,1996-09-03,1996-09-03,Technique Leader,2021-06-09,9045
109017,Valeska,Danecki,9999-01-01,1997-06-22,1997-07-21,Assistant Engineer,2021-06-09,8753
109022,Fumino,Akiyama,9999-01-01,1998-11-14,1999-07-01,Engineer,2021-06-09,8243
109029,Bangqing,Ghazalie,9999-01-01,1996-07-31,1999-05-02,Staff,2021-06-09,9079
109033,Tzu,Picco,9999-01-01,1996-03-10,1997-01-21,Engineer,2021-06-09,9222
109040,Rosella,Ibel,9999-01-01,1996-03-20,1996-03-20,Senior Engineer,2021-06-09,9212
109098,Koldo,Bale,9999-01-01,1997-09-19,1998-05-09,Staff,2021-06-09,8664
109129,Gro,Oxenboll,9999-01-01,1996-06-26,1996-06-26,Staff,2021-06-09,9114
109138,Theron,Fujisawa,9999-01-01,1998-08-07,1998-08-07,Staff,2021-06-09,8342
109143,Tianruo,Morrow,9999-01-01,1998-10-31,1999-08-06,Engineer,2021-06-09,8257
109162,Munehiro,Schonegge,9999-01-01,1998-02-24,1998-02-24,Technique Leader,2021-06-09,8506
109194,Wilmer,Polajnar,9999-01-01,1997-12-31,1997-12-31,Staff,2021-06-09,8561
109224,Zhensheng,Zongker,9999-01-01,1996-06-06,1998-05-18,Staff,2021-06-09,9134
109264,Navin,Roison,9999-01-01,1996-03-04,1998-06-30,Assistant Engineer,2021-06-09,9228
109274,Kazuyasu,Parfitt,9999-01-01,1996-05-07,1996-05-07,Engineer,2021-06-09,9164
109276,Stepehn,Lunt,9999-01-01,1996-02-21,1996-10-13,Senior Engineer,2021-06-09,9240
109295,Magy,Waterhouse,9999-01-01,1996-02-25,2000-08-16,Assistant Engineer,2021-06-09,9236
109299,Vasiliy,Baca,9999-01-01,1998-06-29,1998-11-30,Senior Staff,2021-06-09,8381
109309,Xuejia,Riexinger,9999-01-01,1997-12-17,1997-12-17,Staff,2021-06-09,8575
109316,Yinlin,Luck,9999-01-01,1996-01-22,1998-05-09,Staff,2021-06-09,9270
109337,Yongqiao,Koprowski,9999-01-01,1996-12-26,1998-12-05,Staff,2021-06-09,8931
109341,Jungsoon,Kolvik,9999-01-01,1996-01-08,2000-10-12,Engineer,2021-06-09,9284
109352,Seongbae,Juneja,9999-01-01,1996-08-07,2000-11-15,Engineer,2021-06-09,9072
109358,Ottavia,Halevi,9999-01-01,1997-07-23,1998-10-05,Staff,2021-06-09,8722
